Date,Upper Stillwater,Beaver Divide,Brighton,Brown Duck,Chepeta,Currant Creek,Five Points Lake,Hayden Fork,Kings Cabin,Lakefork #1,Lakefork Basin,Mill-D North,Mining Fork,Mosby Mtn.,Parleys Summit,Rock Creek,Rocky Basin-Settleme,Smith  Morehouse,Snowbird,Thaynes Canyon,Timpanogos Divide,Trial Lake,Trout Creek
1991-10-20,25586.285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991-10-27,25845.14285714286,0.19999999999999998,0.4857142857142857,0.38571428571428573,0.38571428571428573,0.0,0.35714285714285715,0.17142857142857143,0.18571428571428572,0.05714285714285715,0.2285714285714286,0.42857142857142855,0.35714285714285715,0.2285714285714286,0.17142857142857143,0.0,0.39999999999999997,0.14285714285714285,0.4571428571428572,0.35714285714285715,0.5,0.35714285714285715,0.5714285714285714
1991-11-03,26147.285714285714,0.9857142857142858,2.3999999999999995,1.8,2.1714285714285717,0.4,1.8571428571428572,1.0571428571428572,1.7,1.2285714285714284,1.4000000000000001,2.414285714285714,1.6857142857142857,1.9428571428571428,1.3142857142857145,0.2,4.8,1.2,2.9285714285714284,1.7285714285714284,2.0571428571428574,1.7285714285714289,1.9857142857142858
1991-11-10,26466.285714285714,1.2714285714285716,2.757142857142857,2.1714285714285713,2.2,0.3,2.1571428571428575,1.1428571428571428,1.8142857142857143,1.457142857142857,2.3000000000000003,3.0714285714285716,1.657142857142857,2.185714285714286,0.7571428571428571,0.05714285714285715,5.285714285714286,1.4142857142857144,3.9428571428571426,1.9714285714285715,1.657142857142857,2.2714285714285714,1.6285714285714286
1991-11-17,26777.428571428572,0.6428571428571429,3.1,2.8,2.4142857142857146,0.31428571428571433,2.6714285714285713,1.2428571428571427,2.0,2.042857142857143,2.9285714285714284,2.9857142857142853,0.6142857142857142,2.471428571428571,0.4714285714285714,0.21428571428571427,5.385714285714286,1.0857142857142856,4.242857142857143,2.2142857142857144,0.4571428571428572,2.7857142857142856,1.542857142857143
1991-11-24,27052.714285714286,1.8142857142857143,6.2,3.8999999999999995,3.042857142857143,1.4714285714285715,3.6714285714285713,2.5,2.9,2.9285714285714284,4.285714285714286,5.671428571428572,2.2857142857142856,3.0,2.185714285714286,0.7857142857142857,6.6571428571428575,2.5,7.542857142857143,4.8999999999999995,2.257142857142857,4.428571428571429,2.4
1991-12-01,27311.428571428572,2.7,7.6000000000000005,4.714285714285714,3.4857142857142853,1.8,4.3428571428571425,3.242857142857143,3.7285714285714286,3.314285714285714,5.5,6.814285714285715,2.742857142857143,3.042857142857143,2.7857142857142856,1.4428571428571428,7.385714285714286,3.0714285714285716,8.985714285714286,5.928571428571429,2.9,5.3,3.042857142857143
1991-12-08,27545.714285714286,3.1,8.457142857142857,5.442857142857143,3.685714285714286,1.8,4.771428571428571,3.5714285714285716,4.085714285714285,3.557142857142857,6.2,7.785714285714286,3.414285714285714,3.1,3.357142857142857,2.4,8.014285714285714,3.257142857142857,10.257142857142856,6.557142857142857,3.642857142857143,5.585714285714286,3.4
1991-12-15,27710.571428571428,3.2,8.6,5.614285714285714,3.814285714285714,1.8714285714285714,4.9,3.6142857142857143,4.1,3.8857142857142857,6.328571428571428,8.1,3.7,3.1,3.5,2.642857142857143,8.3,3.5,10.4,6.6,3.914285714285714,5.7,3.4
1991-12-22,27598.571428571428,3.2714285714285714,8.714285714285714,5.771428571428571,4.214285714285714,1.9714285714285715,5.028571428571429,3.742857142857143,4.271428571428571,4.1,6.614285714285714,8.185714285714285,3.757142857142857,3.1,3.6,2.8,8.457142857142857,3.6142857142857143,10.542857142857143,6.6,4.4,5.814285714285715,3.4
1991-12-29,25309.0,3.3,8.82857142857143,5.9,4.5857142857142845,2.2,5.185714285714285,3.8,4.4,4.4,6.8,8.3,3.9,3.1,3.8,2.8857142857142857,8.6,3.8,10.7,6.9,4.7,5.9,3.4
1992-01-05,21541.85714285714,3.357142857142857,8.942857142857143,5.928571428571429,4.757142857142858,2.2142857142857144,5.357142857142857,3.8,4.457142857142857,4.428571428571429,6.871428571428572,8.428571428571429,3.9285714285714284,3.128571428571429,3.8,2.9,8.614285714285714,3.8428571428571425,10.957142857142857,7.028571428571429,5.071428571428571,5.9,3.4
1992-01-12,17973.0,3.6,9.571428571428571,6.542857142857143,6.014285714285714,2.3857142857142857,5.928571428571429,3.957142857142857,5.357142857142857,4.757142857142857,7.471428571428571,9.171428571428573,4.0285714285714285,3.6571428571428575,4.185714285714285,3.128571428571429,9.385714285714286,4.171428571428572,11.700000000000001,7.442857142857143,5.614285714285714,6.142857142857143,3.742857142857143
1992-01-19,14680.857142857143,3.7714285714285714,9.771428571428572,6.771428571428571,6.642857142857143,2.4,6.0,4.171428571428572,5.685714285714285,4.871428571428572,7.728571428571429,9.457142857142857,4.1,3.871428571428571,4.3,3.2,9.757142857142856,4.514285714285714,12.285714285714286,7.5857142857142845,5.857142857142857,6.2,3.942857142857143
1992-01-26,11668.142857142857,3.8,9.8,6.8,7.014285714285714,2.442857142857143,6.0857142857142845,4.2,5.871428571428572,5.057142857142857,7.885714285714286,9.5,4.1,3.957142857142857,4.3,3.2,9.700000000000001,4.7,12.4,7.771428571428571,5.9,6.2,4.0
1992-02-02,9180.0,3.8,9.8,6.8,7.271428571428571,2.5,6.1,4.242857142857143,5.9,5.257142857142857,8.0,9.542857142857143,4.0285714285714285,4.0,4.2,3.085714285714286,9.414285714285715,4.7,12.4,7.914285714285714,5.9,5.871428571428572,4.0
1992-02-09,8777.714285714286,3.8,9.8,6.8,7.3428571428571425,2.5142857142857147,6.2,4.3,5.9,5.285714285714286,8.0,9.6,3.957142857142857,4.0,4.2,3.0142857142857147,9.128571428571428,4.757142857142857,12.414285714285715,8.157142857142857,5.9,5.471428571428571,4.0
1992-02-16,8794.0,4.014285714285714,10.514285714285714,7.971428571428571,8.485714285714286,3.6285714285714286,7.142857142857143,4.557142857142857,6.328571428571429,5.771428571428571,8.885714285714286,10.62857142857143,5.385714285714286,4.985714285714286,4.814285714285715,3.8285714285714287,11.214285714285714,5.442857142857143,14.042857142857143,9.5,7.871428571428572,6.414285714285714,5.1000000000000005
1992-02-23,8828.57142857143,4.871428571428572,12.757142857142856,9.1,9.228571428571428,4.742857142857143,8.6,5.3,6.471428571428572,6.1,10.299999999999999,12.885714285714286,7.028571428571429,5.828571428571428,6.714285714285714,4.7,13.685714285714285,6.771428571428571,16.714285714285715,11.200000000000001,9.857142857142858,7.957142857142857,6.071428571428571
1992-03-01,8735.714285714286,5.642857142857143,13.914285714285715,9.657142857142857,9.4,5.2,8.9,5.9,7.3,6.128571428571428,11.2,14.0,8.357142857142858,6.057142857142857,7.428571428571429,4.9,14.0,7.385714285714286,18.5,11.799999999999999,10.428571428571429,8.7,6.3
1992-03-08,7217.0,5.942857142857143,14.514285714285714,9.942857142857141,10.085714285714285,5.257142857142857,9.042857142857143,6.114285714285714,7.971428571428571,6.471428571428571,11.785714285714286,13.985714285714286,8.585714285714285,6.257142857142857,6.985714285714286,4.942857142857143,14.685714285714285,7.585714285714286,19.400000000000002,12.428571428571429,10.2,9.200000000000001,6.528571428571429
1992-03-15,5004.857142857143,6.371428571428572,15.057142857142859,10.514285714285714,10.6,5.885714285714286,9.342857142857142,6.114285714285714,8.67142857142857,6.7,12.228571428571428,14.157142857142857,9.299999999999999,6.7,6.357142857142857,5.185714285714285,15.1,8.085714285714285,20.142857142857142,13.0,10.200000000000001,9.514285714285714,7.0857142857142845
1992-03-22,3171.714285714286,5.9,15.642857142857142,10.7,10.700000000000001,6.014285714285714,9.771428571428572,5.3,9.214285714285714,6.771428571428571,12.457142857142857,14.328571428571427,9.657142857142858,7.042857142857143,5.8,5.1,15.928571428571429,7.714285714285714,20.771428571428572,13.6,9.742857142857144,9.542857142857143,7.2
1992-03-29,2145.714285714286,5.742857142857143,16.842857142857145,11.085714285714285,11.157142857142857,5.971428571428571,10.057142857142859,5.528571428571429,10.514285714285714,7.485714285714286,13.12857142857143,15.385714285714286,10.714285714285714,8.042857142857143,5.814285714285715,4.714285714285714,16.185714285714287,7.942857142857142,22.285714285714285,15.242857142857144,10.471428571428572,10.114285714285714,8.071428571428571
1992-04-05,2038.857142857143,1.1,17.357142857142858,11.542857142857143,11.299999999999999,3.5857142857142854,10.557142857142859,4.614285714285714,8.071428571428571,7.628571428571428,13.457142857142857,14.028571428571428,9.828571428571427,8.457142857142857,2.9285714285714284,3.142857142857143,15.914285714285715,5.8999999999999995,22.771428571428572,15.328571428571427,9.37142857142857,9.828571428571427,7.528571428571429
1992-04-12,1642.0,0.0,15.6,11.328571428571427,9.242857142857144,0.08571428571428572,10.357142857142858,1.2142857142857142,6.185714285714285,6.8,13.271428571428572,10.328571428571427,6.571428571428571,8.171428571428573,0.0,0.4857142857142857,13.585714285714285,3.085714285714286,21.599999999999998,13.242857142857144,5.228571428571429,8.6,6.128571428571428
1992-04-19,1597.7142857142858,0.0,12.485714285714286,11.385714285714286,7.714285714285714,0.0,9.657142857142857,0.0,3.471428571428571,5.6000000000000005,13.1,5.628571428571428,2.1142857142857143,7.3,0.5285714285714286,0.0,10.214285714285714,0.014285714285714287,18.599999999999998,10.585714285714285,0.38571428571428573,7.871428571428572,4.114285714285715
1992-04-26,1580.4285714285713,0.0,12.785714285714286,11.942857142857141,7.142857142857143,0.0,10.471428571428572,0.0,1.0857142857142859,5.8,14.414285714285715,5.2,0.4714285714285714,7.014285714285714,0.04285714285714286,0.0,8.857142857142858,0.0,19.685714285714287,10.485714285714286,0.0,8.614285714285714,1.6142857142857143
1992-05-03,1950.4285714285713,0.0,7.957142857142857,10.285714285714286,2.314285714285714,0.0,8.614285714285714,0.0,0.0,1.6,12.700000000000001,0.48571428571428577,0.0,2.6714285714285713,0.0,0.0,3.3428571428571425,0.0,14.9,5.5,0.0,4.985714285714286,0.0
1992-05-10,2766.0,0.0,1.5,7.542857142857143,0.05714285714285715,0.0,5.057142857142857,0.0,0.0,0.0,9.471428571428572,0.0,0.0,0.1285714285714286,0.0,0.0,0.042857142857142864,0.0,7.828571428571428,0.5142857142857143,0.0,0.7428571428571429,0.0
1992-05-17,3455.285714285714,0.0,0.0,5.042857142857143,0.0,0.0,2.257142857142857,0.0,0.0,0.0,7.771428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3428571428571425,0.0,0.0,0.0,0.0
1992-05-24,8088.428571428572,0.0,0.0,0.5571428571428572,0.0,0.0,0.0,0.0,0.0,0.0,4.357142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992-05-31,13854.857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992-06-07,17967.714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992-06-14,20728.14285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992-06-21,22737.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992-06-28,24163.85714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992-07-05,24938.428571428572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992-07-12,25260.571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992-07-19,25741.428571428572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992-07-26,25857.85714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992-08-02,25636.14285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992-08-09,25439.85714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992-08-16,25071.285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992-08-23,23552.714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992-08-30,22885.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992-09-06,22416.85714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992-09-13,21685.428571428572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992-09-20,19250.714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992-09-27,15899.857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992-10-04,12789.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992-10-11,10149.285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
